client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39590776.mp3	1caef773fe33a2a6825330c39aa41ea8e42615328c33245ec6ccc460ba33a25b	W większości krajów mamy nie tylko partie polityczne, ale także fundacje polityczne		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39590837.mp3	1d07568a7a695e195de57896d7b5eb12a91864741d4eb377620e9e9054773219	To kwestia o zasadniczym znaczeniu		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39590861.mp3	1c0038a1e1773407b0ba1cfa875776cbc6bea0eef2408127960340290dc131e7	Decyzję podejmuje sędzia		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39590864.mp3	1d22f5ad7fc5d65d71022d819b405077becf877b77ef904eec493362853c68f5	Mam nadzieję, że ich podstawowe prawa człowieka, włącznie z prawem do azylu, będą chronione		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39592152.mp3	1cec7c459cd618cf2e0fcd8eb77b8d69893cf6c36d15106ac8adde0fd14a7c33	Niemniej jednak jeszcze więcej trudności nastręcza całkowite wyłączenie usług finansowych z obowiązku dostarczania informacji		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39592155.mp3	1da7c0573110d689c7748cbdb3eb9caea1dd53b4078337a8ad06a9a5d0663ec8	Aż do tej pory europejska koncepcja opierała się na demokracji przedstawicielskiej		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39592498.mp3	1cb556e94b3a1aa233317f41bcef9ce36b89f03c911cd55e1ab35da2b77f4739	Zmian Politycznych		1	0	thirties	male_masculine			pl	
9fabe0632a99d197cf9c6a9878c62010652412210ade7eecf884a28e1b2bab1175cf95fbacbc4ff07cc09aefccf9d0f1bbf0d72d9660a7552984191758470762	common_voice_pl_39592500.mp3	1dbd235ea1e6745eeb5ad67c66c81c5b769652a3bab6c326da3d10ab46eb20d0	z pewnością nie są one czymś, czego chcemy w łańcuchu żywnościowym		1	0	thirties	male_masculine			pl	
079413f59f184bfa8300af3cda090fc5f4e9ec3ef0bda89ff87b3098852b44189056c5c4517529aa2fe68ccbb6dff74b4dd9d02a825bd6fb88dce2706a958759	common_voice_pl_39592899.mp3	1d786c639b1898ee7ba2d48e6f53b667592ba70be9d4fb8342ead8aff1146673	Komisja zapowiedziała znaczące wysiłki w tym kierunku		1	0					pl	
079413f59f184bfa8300af3cda090fc5f4e9ec3ef0bda89ff87b3098852b44189056c5c4517529aa2fe68ccbb6dff74b4dd9d02a825bd6fb88dce2706a958759	common_voice_pl_39592900.mp3	1c14690da515baa88e4a10ae38b41d855dc6e7f35fbb8aa0396c0bac293ed611	Istnieją dwie przyczyny, dla których ta reforma była i jest niezbędna		1	0					pl	
